medicaments;QuantiteStock;PrixCession;PrixPublic;DateSortie;Listes;Classes;Formes;;;;;;;
Pyodine iode ;0;0 CFA;40 CFA;;LISTE I;;Divers ;;;;;;;
Pastilles valda fer bte 60;0;451 CFA;634 CFA;20/03/2023;SANS TABLEAU;;Pastilles;;;;;;;
"Allergodil 0;""05% cy;0;2?230 CFA;3?175 CFA;18/05/2021;Liste I;Antiallergique;Collyres"";;;;;;"
Cimetidine create 400mg cp plaq/10;0;500 CFA;743 CFA;06/02/2021;LISTE I;Antiulcereux  (anti H2);Comprimes Gelules;;;;;;;
Dipicor 10mg cp B/30;0;6?124 CFA;8?650 CFA;23/06/2022;Liste I;Antihypertenseur Antiangoreux (IC);Comprimes Gelules;;;;;;;
FML neo cy Fl/5ml;0;0 CFA;40 CFA;;Liste I;Antiinfectieux Antiinflammatoire steroidien;Collyres;;;;;;;
Ketoderm gel moussant unidose 20g;0;7?585 CFA;10?704 CFA;20/03/2023;Liste I;Antimycosique Antifongique;Gel cutane;;;;;;;
Penamox 250mg sp Fl/60ml;0;0 CFA;40 CFA;;Liste I;Antiinfectieux Antibacterien (Penicillines);Sirops;;;;;;;
Solucetyl  cpeff B/20;0;0 CFA;0 CFA;;SANS TABLEAU;Antalgique Antipyretique;Comprimes Gelules;;;;;;;
;0;0 CFA;40 CFA;;;;;;;;;;;
Tire-lait;0;10?259 CFA;15?778 CFA;22/03/2023;SANS TABLEAU;;Divers ;;;;;;;
Anterene sp ;0;1?000 CFA;1?436 CFA;31/10/2018;LISTE II;;Sirops;;;;;;;
Livozed 500mg cp b/10;0;2?563 CFA;3?633 CFA;27/12/2022;LISTE II;;Comprimes Gelules;;;;;;;
Apetil plus sp fl 100ml ;0;2?980 CFA;4?229 CFA;05/03/2020;ST;;Sirops;;;;;;;
Sodium chl 0.9% bb eco 500ml;0;571 CFA;878 CFA;10/08/2020;SANS TABLEAU;;Solutions buvables ou rectales;;;;;;;
Petit ol sav marseille glycerine 100g/3;0;2?031 CFA;3?123 CFA;03/05/2020;SANS TABLEAU;;Pains;;;;;;;
;0;0 CFA;40 CFA;;;;;;;;;;;
Spasfon Lyoc inj b/1;0;3?977 CFA;5?631 CFA;27/09/2020;I;;Injectables;;;;;;;
Biberon en pp tet nn caout caramel 270ml;0;707 CFA;1?231 CFA;17/02/2023;ST;;Collutoire;;;;;;;
Hexaxim sup buv f/120ml;0;1?551 CFA;2?425 CFA;08/02/2022;ST;;Vaccins;;;;;;;
Nivea lait nourrissant fl/400 ml;0;2?188 CFA;3?970 CFA;23/11/2022;SANS TABLEAU;;;;;;;;;
Allergodil goutte nasale;0;2?500 CFA;3?555 CFA;25/11/2018;LISTE I;Antiallergique;Gouttes/Spray nasal;;;;;;;
Dipicor 5mg cp B/30;0;3?500 CFA;4?961 CFA;28/12/2022;LISTE I;Antihypertenseur Antiangoreux (IC);Comprimes Gelules;;;;;;;
Fogyl sp FL/60ml;0;0 CFA;40 CFA;;Liste I;Antiinfectieux Antiparasitaire (Nitro imidazoles);Sirops;;;;;;;
"Ketum gel 2;""5% T/60g;0;1?460 CFA;2?082 CFA;14/09/2023;Liste II;Antiinflammatoire non steroidien;Gel cutane"";;;;;;"
Mycoster 1% pdre T/30gr;0;2?557 CFA;3?595 CFA;24/08/2023;SANS TABLEAU;Antimycosique Antifongique;Poudres externes;;;;;;;
Penamox 500mg cp B/12;0;0 CFA;40 CFA;;Liste I;Antiinfectieux Antibacterien (Penicillines);Comprimes Gelules;;;;;;;
Solumedrol 120 mg inj fl +amp B/1;0;1?610 CFA;2?303 CFA;16/07/2021;Liste I;Antiinflammatoire non steroidien ;Injectables;;;;;;;
Uvesterol gtte buvable FL/20ml;0;1?026 CFA;1?442 CFA;17/02/2020;SANS TABLEAU;Supplement vitaminique;Gouttes buvables;;;;;;;
Anomex creme;0;2?580 CFA;3?667 CFA;24/02/2023;LISTE I;;Gel rectal;;;;;;;
Tributine sirop;0;1?747 CFA;2?456 CFA;19/09/2023;SANS TABLEAU;;Sirops;;;;;;;
Sucette 2eme age ;0;1?462 CFA;2?653 CFA;19/08/2021;SANS TABLEAU;;;;;;;;;
Masque de chirurgien;0;41 CFA;63 CFA;26/01/2023;SANS TABLEAU;;Divers ;;;;;;;
Glucose 5% bb ecofla 500ml;0;500 CFA;769 CFA;29/12/2019;SANS TABLEAU;;Solutions buvables ou rectales;;;;;;;
Avene eau thermale reparatrice t/100ml;0;8?412 CFA;15?306 CFA;27/09/2020;ST;;Divers ;;;;;;;
Ducray ictyane lait corps 200ml;0;1?625 CFA;2?989 CFA;14/05/2021;ST;;Lait;;;;;;;
Ciprobiotic cp B/10;0;0 CFA;40 CFA;;Liste I;Antiulcereux  (anti H2);Comprimes Gelules;;;;;;;
Dipiperon cp B/20;0;0 CFA;40 CFA;;Liste I;Neuroleptique;Comprimes Gelules;;;;;;;
Penicillin G sodique inj B/1;0;0 CFA;40 CFA;;Liste I;Antiinfectieux Antibacterien (Penicillines);Injectables;;;;;;;
Solumedrol 20mg inj fl + amp B/1;0;0 CFA;40 CFA;15/09/2019;Liste I;Antiinflammatoire non steroidien ;Injectables;;;;;;;
Bacteoapesyl creme;0;1?533 CFA;2?195 CFA;01/04/2017;I;;Gel cutane;;;;;;;
Sucette dodie physiologique 0-6 mois;0;1?562 CFA;2?834 CFA;03/02/2023;SANS TABLEAU;;Divers ;;;;;;;
Primalac cereales fruit lait 250g;0;5?401 CFA;7?910 CFA;20/06/2019;ST;;Lait;;;;;;;
Hyseac gel moussant;0;40 CFA;40 CFA;05/05/2021;;;;;;;;;;
"Lotardex 2;""25mg/5ml sp f/100ml;0;2?227 CFA;3?465 CFA;19/03/2023;II;;Sirops"";;;;;;"
Betadine vert BB Fl/125ml;0;891 CFA;1?252 CFA;18/09/2023;SANS TABLEAU;Antiseptique externe;Bains de bouche;;;;;;;
Ciprodac 500mg cp B/10 ;0;0 CFA;40 CFA;;LISTE I;Antiinfectieux Antibacterien (Quinlone 2 generatio;Comprimes Gelules;;;;;;;
Algotropyl suppo enf B/10;0;0 CFA;0 CFA;;SANS TABLEAU;Antalgique Antihistaminique;Suppositoires;;;;;;;
Foliron cp B/30;0;0 CFA;0 CFA;;SANS TABLEAU;Antianemique ;Comprimes Gelules;;;;;;;
Atorex 20mg ;0;2?745 CFA;3?899 CFA;08/06/2023;LISTE I;;Comprimes Gelules;;;;;;;
Pepfiz  cp eff B/10 sans sucre;0;0 CFA;0 CFA;;SANS TABLEAU;Dyspepsie Flatulence;Comprimes Gelules;;;;;;;
Solumedrol 40 mg inj fl +amp B/1;0;1?111 CFA;1?602 CFA;06/06/2020;LISTE I;Antiinflammatoire non steroidien;Injectables;;;;;;;
;0;0 CFA;30 CFA;;;;;;;;;;;
 tronothane gel;0;1?716 CFA;2?452 CFA;01/04/2017;LISTE I;;Gel cutane;;;;;;;
Glema 1mg;0;1?500 CFA;2?149 CFA;01/04/2017;LISTE I;;Comprimes Gelules;;;;;;;
Clairissime  lait eclaircissant 500ml sk;0;4?917 CFA;7?562 CFA;19/02/2023;SANS TABLEAU;;Baume Lait;;;;;;;
Primalac cereal lait 250g;0;5?894 CFA;8?733 CFA;05/09/2019;;;Lait;;;;;;;
Dysen 500mg susp fl/30ml;0;130 CFA;222 CFA;11/04/2023;;;Sirops;;;;;;;
Haldol decanoas sol inj 1ml/5;0;11?642 CFA;16?408 CFA;03/11/2019;LISTE I;;Injectables;;;;;;;
Levogen 1.5mg cpr b/1;0;1?153 CFA;1?813 CFA;08/05/2022;ST;;Comprimes Gelules;;;;;;;
Allopurinol arrow 300 Mmg cp B/28;0;0 CFA;40 CFA;;Liste I;Antigouteux Hypo uricemiant;Comprimes Gelules;;;;;;;
Betarsec 24mg cp B/60;0;0 CFA;40 CFA;;Liste I;Antivertigineux;Comprimes Gelules;;;;;;;
Diprosalic lotion Fl/30g;0;0 CFA;40 CFA;06/01/2023;Liste I;Dermocorticoide antiinflammatoire;Solutions externes lotions;;;;;;;
Fonx creme T/15;0;0 CFA;40 CFA;;Liste I;Antifongique;Pommades cremes;;;;;;;
Klacin 625mg cp B/15;0;0 CFA;40 CFA;07/08/2019;Liste I;Antiinfectieux Antibacterien (Penicillines);Comprimes Gelules;;;;;;;
Solupred 20mg cp B/20 effer;0;3?000 CFA;4?258 CFA;28/07/2018;LISTE I;Antiinflammatoire non steroidien;Comprimes Gelules;;;;;;;
Doliprane sp Fl/90ml;0;666 CFA;966 CFA;23/10/2021;LISTE II;;Sirops;;;;;;;
 Ma stick 4.3 ml bte 20;0;0 CFA;30 CFA;21/06/2017;LISTE II;;Gel buccal ;;;;;;;
Glema 2mg;0;2?015 CFA;2?873 CFA;01/12/2019;LISTE I;;Comprimes Gelules;;;;;;;
Lait carotene MD;0;5?000 CFA;7?690 CFA;28/06/2022;SANS TABLEAU;;Baume Lait;;;;;;;
Nivea lait hydra rafferm Q10 f/400ml;0;1?996 CFA;3?622 CFA;05/05/2022;SANS TABLEAU;;Baume Lait;;;;;;;
Nubiance soin nuithbr3 50ml;0;8?084 CFA;14?671 CFA;03/12/2019;SANS TABLEAU;;Baume Lait;;;;;;;
Rapivast 20mg cp b/30;0;7?395 CFA;10?437 CFA;13/03/2020;;;Comprimes Gelules;;;;;;;
Artilex cp;0;10 CFA;40 CFA;21/10/2022;;;;;;;;;;
S W kids Smily brosse e dent enf;0;0 CFA;0 CFA;15/02/2022;SANS TABLEAU;;Brosses et succettes;;;;;;;
Ketoflex 100mg supp b/10;0;1?176 CFA;1?683 CFA;14/04/2023;LISTE II;;Suppositoires;;;;;;;
"Almide 0;""1% cy l/5ml;0;0 CFA;0 CFA;;SANS TABLEAU;Antiallergique;Collyres"";;;;;;"
"Betneval 0;""1% creme derm T/30g;0;1?712 CFA;2?447 CFA;12/03/2021;Liste I;Dermocorticoide antiinflammatoire;Pommades cremes"";;;;;;"
Ciprofloxacin 250mg palq/10 cp PNA;0;0 CFA;40 CFA;06/09/2020;Liste I;Antiinfectieux Antibacterien (Quinlone 2 generatio;Comprimes Gelules;;;;;;;
Fonx poudre FL/15g;0;0 CFA;40 CFA;;Liste I;Antifongique;Poudres externes;;;;;;;
Klacin BID 1000mg cp B/10;0;3?819 CFA;5?409 CFA;13/01/2020;LISTE I;Antiinfectieux Antibacterien (Penicillines);Comprimes Gelules;;;;;;;
Mynocine cp B/15;0;0 CFA;40 CFA;;Liste I;Antiinfectieux Antibacterien (Cyclines);Comprimes Gelules;;;;;;;
Solupred 5mg cp B/30;0;1?500 CFA;2?149 CFA;17/07/2018;Liste I;Antiinflammatoire non steroidien ;Comprimes Gelules;;;;;;;
Valium gtte buv FL/20ml ;0;0 CFA;40 CFA;23/05/2019;Liste I;Anxiolytique;Gouttes buvables;;;;;;;
Profenid sirop fl/150ml;0;1?659 CFA;2?362 CFA;15/08/2020;LISTE II;;Sirops;;;;;;;
Mefenal sp;0;811 CFA;1?170 CFA;17/03/2023;LISTE II;;Sirops;;;;;;;
Clavira 500mg cb/14;0;3?000 CFA;4?248 CFA;19/03/2018;LISTE II;;Comprimes Gelules;;;;;;;
Oral b dent fresh gel t/140g;0;968 CFA;1?756 CFA;26/08/2023;SANS TABLEAU;;Dentifrices et brosses;;;;;;;
Unizit 500 cp b/3;0;2?595 CFA;3?688 CFA;18/01/2023;LISTE I;;Comprimes Gelules;;;;;;;
Vidoxa creme jour fl/30ml;0;6?000 CFA;9?228 CFA;09/11/2022;SANS TABLEAU;;Pommades cremes;;;;;;;
Uriage hyseac lot desincrustante f/200ml;0;8?682 CFA;15?796 CFA;26/06/2020;ST;;Solutions externes lotions;;;;;;;
"Gynopill 1;""5mg cp rb/1;0;2?566 CFA;3?647 CFA;24/12/2020;I;;Comprimes Gelules"";;;;;;"
Lipovas 20mg cp b/30;0;2?295 CFA;3?266 CFA;18/05/2021;LISTE I;;Comprimes Gelules;;;;;;;
Sportie pointille frais b/3;0;0 CFA;0 CFA;09/09/2022;SANS TABLEAU;;Divers ;;;;;;;
;0;0 CFA;0 CFA;;;;;;;;;;;
"Betneval 0;""1% pde T/30g;0;0 CFA;40 CFA;;Liste I;Dermocorticoide antiinflammatoire;Pommades cremes"";;;;;;"
Ciprofloxacine UBI inj 100mg/50ml perfusion;0;0 CFA;40 CFA;06/11/2020;Liste I;Antiinfectieux Antibacterien (Quinlone 2 generatio;Injectables;;;;;;;
Foradil inhalation buccale + cp B/30cp;0;0 CFA;40 CFA;;Liste I;Bronchodilatateur;Inhalation;;;;;;;
Klacin forte sp pediatrique Fl/100ml;0;3?000 CFA;4?258 CFA;09/10/2019;Liste I;Antiinfectieux Antibacterien (Penicillines);Sirops;;;;;;;
Myolastan 50mg cp B/20;0;0 CFA;40 CFA;;LISTE I;Myorelaxant Anxiolytique;Comprimes Gelules;;;;;;;
Percutalgine gel T/30g;0;0 CFA;40 CFA;;Liste I;Antiinflammatoire non steroidien;Gel cutane;;;;;;;
Solyzole cp B/1;0;0 CFA;30 CFA;;Liste II;Antihelminthique Antiparasitaire;Comprimes Gelules;;;;;;;
Valium Roche  10 mg cp B/30;0;1?091 CFA;1?573 CFA;24/08/2022;LISTE I;Anxiolytique;Comprimes Gelules;;;;;;;
Doliprane vit c;0;904 CFA;1?301 CFA;25/04/2023;LISTE II;;Comprimes Gelules;;;;;;;
Atoderm crem fl ppe 500ml;0;6?376 CFA;11?601 CFA;08/09/2020;LISTE II;;Comprimes Gelules;;;;;;;
Diapride 1mg;0;2?666 CFA;3?788 CFA;07/04/2020;LISTE I;;Comprimes Gelules;;;;;;;
Karissen shampooing;0;3?133 CFA;4?818 CFA;02/07/2018;SANS TABLEAU;;Shampooing;;;;;;;
Kaleorid cp;0;0 CFA;40 CFA;29/03/2023;LISTE I;;Comprimes Gelules;;;;;;;
Ht26 lait corp f/500ml;0;13?940 CFA;25?298 CFA;23/05/2019;SANS TABLEAU;;Lait;;;;;;;
Oral b brosse dent 123 b/1;0;258 CFA;402 CFA;09/12/2021;ST;;Brosses et succettes;;;;;;;
Azinowel sp 15ml;0;0 CFA;40 CFA;29/09/2020;I;;Sirops;;;;;;;
Roche P lipikr urea 5% lait f/200ml;0;9?176 CFA;16?692 CFA;13/11/2022;ST;;Lait;;;;;;;
Coupe ongle gilbert;0;1?268 CFA;2?331 CFA;08/08/2022;LISTE II;;Divers ;;;;;;;
Alodont BB;0;0 CFA;0 CFA;;SANS TABLEAU;Antiseptique externe;Bains de bouche;;;;;;;
Betneval Neomycine crem T/30g ;0;0 CFA;40 CFA;;Liste I;Dermocorticoide antiinflammatoire;Pommades cremes;;;;;;;
Foradil inhalation buccale + cp B/60cp;0;0 CFA;40 CFA;;Liste I;Bronchodilatateur;Inhalation;;;;;;;
Klacin sp pediatrique Fl/100ml;0;2?237 CFA;3?185 CFA;01/04/2017;Liste I;Antiinfectieux Antibacterien (Penicillines);Sirops;;;;;;;
Mzole 100mg cp B/6;0;0 CFA;0 CFA;26/04/2022;SANS TABLEAU;Antihelminthique Antiparasitaire;Comprimes Gelules;;;;;;;
Perfalgan  1g inj 100ml perfusion;0;1?387 CFA;1?950 CFA;02/11/2022;SANS TABLEAU;Antalgique Antipyretique;Injectables;;;;;;;
Solyzole sp FL/20ml;0;0 CFA;30 CFA;;Liste II;Antihelminthique Antiparasitaire;Sirops;;;;;;;
Valium Roche  10mg/2ml inj B/6;0;1?000 CFA;1?446 CFA;13/12/2020;LISTE I;Anxiolytique;Injectables;;;;;;;
Dogmatil 100mg cp;0;2?246 CFA;3?197 CFA;01/03/2020;LISTE I;;Comprimes Gelules;;;;;;;
Savon Roge Cavailles surgras  250g;0;2?733 CFA;4?959 CFA;16/08/2023;SANS TABLEAU;;Pains;;;;;;;
Keracnyl matif hydr jour cr/30ml;0;4?361 CFA;7?914 CFA;17/06/2022;SANS TABLEAU;;Baume Lait;;;;;;;
Avene cold cream fl 100 ml ;0;5?446 CFA;9?883 CFA;16/01/2020;SANS TABLEAU;;Baume Lait;;;;;;;
Nutrilac sachet 320g;0;5?520 CFA;6?940 CFA;01/12/2018;ST;;Divers ;;;;;;;
Efurid shts;0;40 CFA;40 CFA;14/05/2019;;;Sachets Granules poudres orales;;;;;;;
Diazepam renaudin 10/mg/2mlsol inj b/10;0;4?517 CFA;6?390 CFA;29/04/2022;I;;Injectables;;;;;;;
Triafen 325/200/30mg gel 2x12;0;1?926 CFA;3?002 CFA;05/10/2020;ST;;Comprimes Gelules;;;;;;;
Alphavit sp FI/120ml;0;1?820 CFA;2?558 CFA;20/02/2023;SANS TABLEAU;Supplement vitaminique;Sirops;;;;;;;
Betneval Neomycine pde T/30g;0;0 CFA;40 CFA;;Liste I;Dermocorticoide antiinflammatoire;Pommades cremes;;;;;;;
Diprosone lotion Fl/15g;0;0 CFA;40 CFA;;Liste I;Dermocorticoide antiinflammatoire;Solutions externes lotions;;;;;;;
L R J cy 10ml;0;2?194 CFA;3?084 CFA;;SANS TABLEAU;Antiallergique;Collyres;;;;;;;
Mzole 500 cp B/1;0;0 CFA;0 CFA;;SANS TABLEAU;Antihelminthique Antiparasitaire;Comprimes Gelules;;;;;;;
Perfalgan  500mg inj 50ml perfusion;0;517 CFA;726 CFA;30/09/2022;SANS TABLEAU;Antalgique Antipyretique;Injectables;;;;;;;
Valium Roche  5mg cp B/30;0;0 CFA;40 CFA;04/07/2019;Liste I;Anxiolytique;Comprimes Gelules;;;;;;;
Ticasse forte sirop;0;2?774 CFA;3?940 CFA;19/09/2023;LISTE I;;Sirops;;;;;;;
Savon Roge Cavailles 150g;0;1?734 CFA;2?666 CFA;21/08/2022;SANS TABLEAU;;Pains;;;;;;;
Tramagen 100mg inj b/5;0;1?956 CFA;2?790 CFA;01/08/2023;LISTE I;;Injectables;;;;;;;
Depi white creme depigmentante ;0;10?679 CFA;16?424 CFA;04/06/2021;SANS TABLEAU;;Baume Lait;;;;;;;
Nutribom 350G ;0;5?512 CFA;6?930 CFA;27/12/2018;ST;;Divers ;;;;;;;
Metronidazole 500mg ubigen sol inj f/10ml;0;712 CFA;1?041 CFA;16/08/2020;I;;Injectables;;;;;;;
"Hytacand 8/12;""5mg cp b/30;0;0 CFA;40 CFA;02/10/2020;;;"";;;;;;"
"Betoptic 0;""25 cy;0;2?664 CFA;3?785 CFA;20/06/2023;LISTE I;Antiglaucomateux;Collyres"";;;;;;"
Ciprox 500mg cp B/10;0;2?000 CFA;2?852 CFA;;LISTE I;Antiinfectieux Antibacterien;Comprimes Gelules;;;;;;;
Diprosone neomycne creme T/30g;0;0 CFA;40 CFA;;Liste I;Dermocorticoide antiinflammatoire;Pommades cremes;;;;;;;
"Lacrifluide 0;""13% cy 10g;0;0 CFA;0 CFA;;SANS TABLEAU;Sibstitut lacrimal;Collyres"";;;;;;"
Periactine 4mg cp B/30;0;0 CFA;0 CFA;;SANS TABLEAU;Antihistaminique Antiallergique Stimulant de leapp;Comprimes Gelules;;;;;;;
Sommeil 8H Forte amp buv B/20;0;0 CFA;0 CFA;;SANS TABLEAU;Complement alimentaire (trouble du sommeil);Ampoules buvables;;;;;;;
Vascor cp B/60;0;3?000 CFA;4?258 CFA;28/10/2021;LISTE I;Antiangoreux Antivertigineux;Comprimes Gelules;;;;;;;
Aureomycine specia 3% pde t/15;0;275 CFA;416 CFA;26/01/2023;LISTE II;;Pommades cremes;;;;;;;
Sebionex k creme keratoregeneratrice ;0;5?167 CFA;9?377 CFA;26/08/2023;SANS TABLEAU;;Baume Lait;;;;;;;
Fangid creme t/15g;0;0 CFA;0 CFA;16/08/2023;SANS TABLEAU;;Pommades cremes;;;;;;;
;0;40 CFA;40 CFA;;;;;;;;;;;
Griseofulvine cp 500mg cpr pell b/10bl10;0;7?500 CFA;10?585 CFA;21/10/2019;LISTE I;;Comprimes Gelules;;;;;;;
Gel antisep armonia;0;40 CFA;40 CFA;24/04/2022;;;;;;;;;;
Falciart DT 20mg/120mg cp disp b/6;0;412 CFA;619 CFA;28/08/2023;LISTE I;;Comprimes Gelules;;;;;;;
Ciproxine 250mg cp B/10;0;0 CFA;40 CFA;;Liste I;Antiinfectieux Antibacterien (Quinlone 2 generatio;Comprimes Gelules;;;;;;;
Diprosone neomycne pde T/30g;0;0 CFA;40 CFA;;Liste I;Dermocorticoide antiinflammatoire;Pommades cremes;;;;;;;
"Lacrinorm 0;""2%  gel opht T/10g;0;0 CFA;0 CFA;;SANS TABLEAU;Sibstitut lacrimal;Pommades ophtalmiques"";;;;;;"
Sophtal cy FL/10ml;0;0 CFA;0 CFA;13/06/2023;SANS TABLEAU;Antiseptique oculaire;Collyres;;;;;;;
Decontractyl creme;0;40 CFA;40 CFA;22/07/2020;ST;;Gel cutane;;;;;;;
Diltigesic 2% gel t/30g;0;2?500 CFA;3?555 CFA;15/05/2017;LISTE I;;Pommades cremes;;;;;;;
Melas cream depigmentante ;0;14?087 CFA;21?665 CFA;;SANS TABLEAU;;Baume Lait;;;;;;;
Serum glucose braun;0;40 CFA;40 CFA;21/02/2020;;;;;;;;;;
FEmigeston 200mg cpas molle b/10;0;1?736 CFA;2?480 CFA;24/03/2023;I;;Comprimes Gelules;;;;;;;
Depi white lait eclair f/500ml;0;10?552 CFA;19?190 CFA;08/06/2023;ST;;Lait;;;;;;;
Alvir 200mg cp B/30;0;4?925 CFA;6?964 CFA;16/05/2023;LISTE I;Antiviral;Comprimes Gelules;;;;;;;
Biafine emulsion derm Fl/93g;0;1?503 CFA;2?113 CFA;07/11/2022;SANS TABLEAU;Protecteur cutane;Solutions externes lotions;;;;;;;
Ciproxine 250mg cp B/6;0;0 CFA;40 CFA;;Liste I;Antiinfectieux Antibacterien (Quinlone 2 generatio;Comprimes Gelules;;;;;;;
Diprostene inj B/1 ser pre-remplie de  1 ml;0;3?000 CFA;4?258 CFA;25/05/2023;LISTE I;Antiinflammatoire steroidien;Injectables;;;;;;;
Fortevit sp FL/125ml;0;0 CFA;0 CFA;;SANS TABLEAU;Supplement vitaminique;Sirops;;;;;;;
Vasobral gtte buv FL/50ml sans sucre;0;0 CFA;30 CFA;;Liste II;Vasodilatateur peripherique;Gouttes buvables;;;;;;;
Klorane lingette;0;3?375 CFA;4?745 CFA;25/07/2022;SANS TABLEAU;;Divers ;;;;;;;
Amoxirex 500 cp;0;0 CFA;40 CFA;21/12/2018;LISTE I;;Comprimes Gelules;;;;;;;
Oral b dent mint fresh t/93g;0;935 CFA;1?696 CFA;01/07/2022;SANS TABLEAU;;Dentifrices et brosses;;;;;;;
Isoptopilocarpine 2% cy 10ml;0;33 CFA;86 CFA;05/10/2020;I;;Collyres;;;;;;;
Biafine emulsion derm Fl/186g;0;1?522 CFA;2?139 CFA;01/02/2023;SANS TABLEAU;Protecteur cutane;Solutions externes lotions;;;;;;;
Ciproxine 500mg cp B/10;0;0 CFA;40 CFA;;Liste I;Antiinfectieux Antibacterien (Quinlone 2 generatio;Comprimes Gelules;;;;;;;
Lacteol fort cp B/20;0;1?698 CFA;2?387 CFA;24/01/2020;SANS TABLEAU;Antidiarrheique;Comprimes Gelules;;;;;;;
Naprosyne 1000mg cp B/8;0;0 CFA;30 CFA;;Liste II;Antiinflammatoire non steroidien;Comprimes Gelules;;;;;;;
"Permaganate de potassium sachet de 0;""25g;0;0 CFA;0 CFA;;SANS TABLEAU;Antiseptique externe;Sachets Granules poudres orales"";;;;;;"
Satalex 160mg cp B/30;0;0 CFA;40 CFA;;Liste I;Antiarythmique (Betabloquant);Comprimes Gelules;;;;;;;
Vastarel 20mg cp B/60;0;8?819 CFA;12?439 CFA;26/08/2021;LISTE I;Antiangoreux Antivertigineux;Comprimes Gelules;;;;;;;
Derzol cp bte 1;0;1?784 CFA;2?548 CFA;06/09/2020;LISTE I;;Comprimes Gelules;;;;;;;
Mixa ad lait corps douceur f/250ml;0;1?303 CFA;2?363 CFA;07/06/2022;SANS TABLEAU;;;;;;;;;
Gastricid detail;0;40 CFA;40 CFA;21/10/2021;;;Compresses medicamenteuses;;;;;;;
Keracnyl control soin regu cr 30ml;0;5?303 CFA;9?664 CFA;17/03/2020;;;Pommades cremes;;;;;;;
Allergus cp 5mg b/15;0;15 CFA;63 CFA;27/12/2022;II;;Comprimes Gelules;;;;;;;
Proctocare cp epll b/20;0;357 CFA;687 CFA;16/05/2023;ST;;Comprimes Gelules;;;;;;;
Skinet creme t/50g;0;0 CFA;0 CFA;18/09/2023;SANS TABLEAU;;;;;;;;;
Ciprozole cp B/10;0;3?515 CFA;4?982 CFA;09/08/2023;LISTE I;Antiinfectieux Antibacterien;Comprimes Gelules;;;;;;;
Lacteol fort sachet B/12;0;1?666 CFA;2?342 CFA;20/12/2021;SANS TABLEAU;Antidiarrheique;Sachets Granules poudres orales;;;;;;;
Naprosyne 500mg cp B/15;0;0 CFA;40 CFA;;Liste I;Antiinflammatoire non steroidien;Comprimes Gelules;;;;;;;
Permixon 160mg cp B/60 sans sucre;0;16?213 CFA;22?795 CFA;30/03/2023;SANS TABLEAU;Antiprostatite;Comprimes Gelules;;;;;;;
Sotalex 80mg cp B/30;0;0 CFA;40 CFA;27/11/2019;LISTE I;Antiarythmique (Betabloquant);Comprimes Gelules;;;;;;;
Vastarel 20mg /ml gtte buv F/60ml;0;0 CFA;40 CFA;;Liste I;Antiangoreux Antivertigineux;Gouttes buvables;;;;;;;
Medvite sirop;0;1?259 CFA;1?810 CFA;01/04/2017;ST;;Sirops;;;;;;;
Diabirel 2;0;3?259 CFA;4?622 CFA;01/04/2017;LISTE I;;Comprimes Gelules;;;;;;;
Avene eau thermale fl/150ml;0;2?137 CFA;3?286 CFA;28/02/2022;SANS TABLEAU;;Solutions externes lotions;;;;;;;
Alcool ethylique bleu cooper 60e fl/125ml;0;650 CFA;999 CFA;14/08/2021;SANS TABLEAU;;Divers ;;;;;;;
Virimax express pocket 3 gelules;0;1?141 CFA;1?782 CFA;29/09/2020;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Gorpilis miel citron b/24;0;1?011 CFA;1?461 CFA;23/06/2023;ST;;Sachets Granules poudres orales;;;;;;;
Genou artic ecru 1430 t3;0;0 CFA;0 CFA;06/09/2019;SANS TABLEAU;;Divers ;;;;;;;
Parfum thierry mugler fl/25ml;0;1?776 CFA;2?771 CFA;;ST;;Divers ;;;;;;;
;0;0 CFA;0 CFA;;;;;;;;;;;
Ditropan cp B/60;0;3?279 CFA;4?640 CFA;27/06/2021;LISTE II;Incontinence urinaire;Comprimes Gelules;;;;;;;
Lactulose sp Fl/200ml;0;0 CFA;0 CFA;20/07/2020;SANS TABLEAU;Laxatif;Sirops;;;;;;;
Nasax 100 doses spr nasal;0;3?500 CFA;4?961 CFA;22/07/2023;Liste I;Glucocorticoide;Gouttes/Spray nasal;;;;;;;
Sparmax 200mg cp B/10;0;4?281 CFA;6?059 CFA;09/12/2019;Liste I;Antiinfectieux Antibacterien;Comprimes Gelules;;;;;;;
Vastarel 35mg cp B/60l;0;5?611 CFA;7?929 CFA;12/10/2021;LISTE I;Antiangoreux Antivertigineux;Comprimes Gelules;;;;;;;
Diaglim 2mg;0;937 CFA;1?357 CFA;05/12/2022;LISTE I;;Comprimes Gelules;;;;;;;
Chlorure d'ethyle ;0;2?552 CFA;3?588 CFA;04/06/2019;SANS TABLEAU;;Spray solutions externes;;;;;;;
Vaccin tetatox;0;1?500 CFA;2?109 CFA;17/10/2020;SANS TABLEAU;;Vaccins;;;;;;;
Betamethasone arrow 2mg cp disp sec b/20;0;2?665 CFA;3?786 CFA;14/02/2023;I;;Comprimes Gelules;;;;;;;
Androcur 50mg cp b/20;0;9?876 CFA;13?925 CFA;29/08/2023;LISTE I;;Comprimes Gelules;;;;;;;
;0;40 CFA;40 CFA;;;;;;;;;;;
